Gamma	GammaRot	J	Ka	Kc	GammaVib	v1	v2	v3	v4	v5	v6	Tag	Obs	Uncertainty	Source
1	1	4	2	2	1	0	1	0	0	0	0	4-2-2-0-1-0-0-0-0	1736.130256473	0.000409707	Marvel
4	4	4	3	2	1	0	1	0	0	0	0	4-3-2-0-1-0-0-0-0	1754.814554073	0.020011413	Marvel
3	3	4	3	1	1	0	1	0	0	0	0	4-3-1-0-1-0-0-0-0	1754.81561157	0.020011446	Marvel
2	2	4	4	1	1	0	1	0	0	0	0	4-4-1-0-1-0-0-0-0	1781.076977413	0.000417421	Marvel
1	1	4	4	0	1	0	1	0	0	0	0	4-4-0-0-1-0-0-0-0	1781.077017413	0.000417388	Marvel
1	1	4	0	4	1	0	0	0	2	0	0	4-0-4-0-0-0-2-0-0	1886.985173447	0.000410037	Marvel
4	4	4	1	4	1	0	0	0	2	0	0	4-1-4-0-0-0-2-0-0	1889.316224708	0.000408746	Marvel
3	3	4	1	3	1	0	0	0	2	0	0	4-1-3-0-0-0-2-0-0	1891.044778928	0.000408412	Marvel
2	2	4	2	3	1	0	0	0	2	0	0	4-2-3-0-0-0-2-0-0	1899.528741482	0.000408371	Marvel
1	1	4	2	2	1	0	0	0	2	0	0	4-2-2-0-0-0-2-0-0	1899.637565211	0.000406706	Marvel
4	4	4	3	2	1	0	0	0	2	0	0	4-3-2-0-0-0-2-0-0	1915.165878397	0.004011413	Marvel
3	3	4	3	1	1	0	0	0	2	0	0	4-3-1-0-0-0-2-0-0	1915.168904042	0.004011446	Marvel
2	2	4	4	1	1	0	0	0	2	0	0	4-4-1-0-0-0-2-0-0	1937.13045	0.0026	05LoUlBe
1	1	4	4	0	1	0	0	0	2	0	0	4-4-0-0-0-0-2-0-0	1937.13045	0.0026	05LoUlBe
3	4	4	1	4	2	0	0	0	1	0	1	4-1-4-0-0-0-1-0-1	1951.58717	0.0026	05LoUlBe
4	3	4	1	3	2	0	0	0	1	0	1	4-1-3-0-0-0-1-0-1	1953.41342	0.0026	05LoUlBe
1	2	4	2	3	2	0	0	0	1	0	1	4-2-3-0-0-0-1-0-1	1962.23025	0.0026	05LoUlBe
2	1	4	2	2	2	0	0	0	1	0	1	4-2-2-0-0-0-1-0-1	1962.35358	0.0026	05LoUlBe
3	4	4	3	2	2	0	0	0	1	0	1	4-3-2-0-0-0-1-0-1	1978.99094	0.0026	05LoUlBe
4	3	4	3	1	2	0	0	0	1	0	1	4-3-1-0-0-0-1-0-1	1978.99208	0.0026	05LoUlBe
1	1	4	0	4	1	0	0	0	0	0	2	4-0-4-0-0-0-0-0-2	1993.6597	0.0026	05LoUlBe
4	4	4	1	4	1	0	0	0	0	0	2	4-1-4-0-0-0-0-0-2	1997.64336	0.0026	05LoUlBe
3	3	4	1	3	1	0	0	0	0	0	2	4-1-3-0-0-0-0-0-2	1999.73784	0.0026	05LoUlBe
1	2	4	4	1	2	0	0	0	1	0	1	4-4-1-0-0-0-1-0-1	2003.11773	0.0026	05LoUlBe
2	1	4	4	0	2	0	0	0	1	0	1	4-4-0-0-0-0-1-0-1	2003.11773	0.0026	05LoUlBe
2	2	4	2	3	1	0	0	0	0	0	2	4-2-3-0-0-0-0-0-2	2013.30988	0.0026	05LoUlBe
1	1	4	2	2	1	0	0	0	0	0	2	4-2-2-0-0-0-0-0-2	2013.40879	0.0026	05LoUlBe
1	3	4	1	3	3	0	0	1	1	0	0	4-1-3-0-0-1-1-0-0	2062.22835	0.0026	05LoUlBe
2	2	4	4	1	1	0	0	0	0	0	2	4-4-1-0-0-0-0-0-2	2069.44233	0.0026	05LoUlBe
1	1	4	4	0	1	0	0	0	0	0	2	4-4-0-0-0-0-0-0-2	2069.44233	0.0026	05LoUlBe
1	1	4	0	4	1	1	0	0	0	0	0	4-0-4-1-0-0-0-0-0	2080.30595	0.0026	05LoUlBe
4	4	4	1	4	1	1	0	0	0	0	0	4-1-4-1-0-0-0-0-0	2082.95476	0.0026	05LoUlBe
3	3	4	1	3	1	1	0	0	0	0	0	4-1-3-1-0-0-0-0-0	2085.30229	0.0026	05LoUlBe
4	1	4	0	4	4	0	0	1	0	0	1	4-0-4-0-0-1-0-0-1	2092.33655	0.0026	05LoUlBe
1	1	4	2	2	1	1	0	0	0	0	0	4-2-2-1-0-0-0-0-0	2095.14869	0.0026	05LoUlBe
2	2	4	2	3	1	1	0	0	0	0	0	4-2-3-1-0-0-0-0-0	2095.16725	0.0026	05LoUlBe
1	4	4	1	4	4	0	0	1	0	0	1	4-1-4-0-0-1-0-0-1	2096.01636	0.0026	05LoUlBe
